tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,100,0.00,0.00,1.00,736.0,727.2,693.1,381.1,138.7,83.7,45.2,69.3,64.0,69.2,45.2,83.5,138.6,311.7,1041.2,751.9,1184.0,-1216.0,1.0,800.0,-1856.0,1.0,-800.0,-1952.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.3956,100,-1.12,0.86,1.00,996.0,224.3,119.2,66.1,50.4,67.2,65.5,66.7,54.0,107.5,172.2,333.7,474.1,529.3,737.3,257.3,-243.4,-1679.9,1.0,-984.8,-1765.8,1.0,-2036.5,-556.2,1.0,1.0,1.0,2.0,0.0,0.0,50,0,9544,0
2,0.5297,100,0.37,1.04,1.00,114.3,62.3,55.2,67.5,67.2,60.0,60.4,113.6,193.3,345.0,268.8,749.8,724.4,265.0,425.3,199.5,-1414.8,-935.9,1.0,-1972.5,-440.0,1.0,-1770.4,1150.1,1.0,2.0,1.0,4.0,0.0,0.0,-50,0,8784,0
3,0.5297,100,0.34,0.95,1.00,115.8,64.2,55.9,68.6,68.3,59.3,62.3,114.4,194.7,344.5,267.5,748.8,723.6,263.8,425.8,202.0,-1414.2,-935.0,1.0,-1972.0,-439.0,1.0,-1769.8,1151.0,1.0,0.0,1.0,4.0,0.0,0.0,0,0,0,0
4,0.5297,100,0.31,0.86,1.00,117.1,66.0,56.5,69.6,69.3,58.7,64.0,115.2,195.9,344.1,266.3,747.8,722.8,262.7,426.2,204.2,-1413.7,-934.1,1.0,-1971.5,-438.2,1.0,-1769.3,1151.9,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.5297,100,0.28,0.78,1.00,118.2,67.6,57.1,70.4,70.2,58.1,65.5,115.8,197.1,343.8,265.3,746.9,722.2,261.6,426.5,206.3,-1413.2,-933.3,1.0,-1971.0,-437.4,1.0,-1768.8,1152.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.5297,100,0.25,0.70,1.00,119.3,69.0,57.5,71.2,70.9,57.6,66.9,116.4,198.1,343.4,264.3,746.2,721.6,260.7,426.9,208.2,-1412.8,-932.6,1.0,-1970.6,-436.7,1.0,-1768.4,1153.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.5297,100,0.23,0.64,1.00,120.3,70.2,58.0,72.0,71.7,57.2,68.1,117.0,199.0,343.1,263.5,745.4,721.0,259.9,427.2,209.9,-1412.4,-932.0,1.0,-1970.2,-436.0,1.0,-1768.0,1154.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.5297,100,0.21,0.58,1.00,121.2,71.4,58.4,72.6,72.3,56.8,69.2,117.5,199.9,342.9,262.7,744.8,720.5,259.1,427.5,211.4,-1412.1,-931.4,1.0,-1969.9,-435.4,1.0,-1767.7,1154.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.5297,100,0.19,0.52,1.00,121.9,72.5,58.8,73.2,72.9,56.4,70.3,117.9,200.6,342.6,262.0,744.2,720.1,258.4,427.7,212.8,-1411.8,-930.9,1.0,-1969.5,-434.9,1.0,-1767.4,1155.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.5297,100,0.17,0.48,1.00,122.7,73.4,59.1,73.8,73.4,56.0,71.2,118.3,201.3,342.4,261.4,743.7,719.7,257.8,427.9,214.0,-1411.5,-930.4,1.0,-1969.3,-434.4,1.0,-1767.1,1155.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
11,0.5297,100,0.15,0.43,1.00,123.3,74.3,59.4,74.2,73.9,55.7,72.0,118.7,201.9,342.2,260.8,743.2,719.3,257.2,428.2,215.2,-1411.2,-929.9,1.0,-1969.0,-434.0,1.0,-1766.9,1156.1,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
12,0.5297,100,0.14,0.39,1.00,123.9,75.1,59.7,74.7,74.3,55.4,72.8,119.0,202.5,342.0,260.3,742.7,718.9,256.7,428.3,216.2,-1411.0,-929.5,1.0,-1968.8,-433.6,1.0,-1766.6,1156.5,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
13,0.5297,100,0.13,0.35,1.00,124.4,75.8,59.9,75.1,74.8,55.2,73.5,119.3,203.0,341.8,259.8,742.3,718.6,256.2,428.5,217.2,-1410.8,-929.2,1.0,-1968.6,-433.2,1.0,-1766.4,1156.8,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
14,0.5297,100,0.11,0.32,1.00,124.9,76.5,60.2,75.4,75.1,54.9,74.1,119.6,203.5,341.7,259.4,742.0,718.4,255.8,428.7,218.0,-1410.6,-928.9,1.0,-1968.4,-432.9,1.0,-1766.2,1157.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
15,0.5297,100,0.10,0.29,1.00,125.4,77.1,60.3,75.8,75.4,54.8,74.7,119.9,203.9,341.5,259.0,741.6,718.1,255.4,428.8,218.8,-1410.4,-928.6,1.0,-1968.2,-432.6,1.0,-1766.1,1157.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
16,0.5297,100,0.09,0.26,1.00,125.8,77.6,60.5,76.0,75.7,54.5,75.2,120.1,204.3,341.4,258.6,741.3,717.9,255.1,428.9,219.5,-1410.3,-928.3,1.0,-1968.0,-432.4,1.0,-1765.9,1157.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
17,0.5297,100,0.09,0.24,1.00,126.1,78.1,60.7,76.3,76.0,54.4,75.7,120.3,204.7,341.3,258.3,741.1,717.7,254.8,429.0,220.1,-1410.1,-928.1,1.0,-1967.9,-432.1,1.0,-1765.8,1158.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
18,0.5297,100,0.08,0.22,1.00,126.5,78.5,60.8,76.6,76.2,54.2,76.1,120.5,205.0,341.2,258.0,740.8,717.5,254.5,429.1,220.7,-1410.0,-927.8,1.0,-1967.8,-431.9,1.0,-1765.6,1158.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
19,0.5297,100,0.07,0.20,1.00,126.8,78.9,61.0,76.8,76.5,54.1,76.5,120.7,205.3,341.1,257.8,740.6,717.3,254.2,429.2,221.2,-1409.9,-927.6,1.0,-1967.7,-431.7,1.0,-1765.5,1158.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
20,0.5297,100,0.06,0.18,1.00,127.0,79.2,61.1,77.0,76.7,53.9,76.8,120.8,205.5,341.0,257.5,740.4,717.2,254.0,429.3,221.7,-1409.8,-927.5,1.0,-1967.6,-431.5,1.0,-1765.4,1158.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
21,0.5297,100,0.06,0.16,1.00,127.3,79.6,61.2,77.2,76.8,53.8,77.2,120.9,205.8,340.9,257.3,740.2,717.0,253.8,429.4,222.1,-1409.7,-927.3,1.0,-1967.5,-431.4,1.0,-1765.3,1158.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
22,0.5297,100,0.05,0.15,1.00,127.5,79.9,61.3,77.3,77.0,53.7,77.4,121.1,206.0,340.9,257.1,740.1,716.9,253.6,429.5,222.5,-1409.6,-927.2,1.0,-1967.4,-431.2,1.0,-1765.2,1158.9,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
23,0.5297,100,0.05,0.13,1.00,127.7,80.2,61.4,77.5,77.2,53.6,77.7,121.2,206.2,340.8,256.9,739.9,716.8,253.4,429.5,222.8,-1409.5,-927.0,1.0,-1967.3,-431.1,1.0,-1765.1,1159.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
24,0.5297,100,0.04,0.12,1.00,127.9,80.4,61.5,77.6,77.3,53.5,77.9,121.3,206.3,340.8,256.8,739.8,716.7,253.2,429.6,223.1,-1409.5,-926.9,1.0,-1967.2,-431.0,1.0,-1765.1,1159.1,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
25,0.5297,100,0.04,0.11,1.00,128.0,80.6,61.6,77.7,77.4,53.5,78.1,121.4,206.5,340.7,256.6,739.7,716.6,253.1,429.6,223.4,-1409.4,-926.8,1.0,-1967.2,-430.9,1.0,-1765.0,1159.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
26,0.5297,100,0.04,0.10,1.00,128.2,80.8,61.7,77.8,77.5,53.4,78.3,121.5,206.7,340.7,256.5,739.5,716.5,253.0,429.7,223.7,-1409.3,-926.7,1.0,-1967.1,-430.8,1.0,-1765.0,1159.3,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
27,0.5297,100,0.03,0.09,1.00,128.3,81.0,61.7,77.9,77.6,53.3,78.5,121.6,206.8,340.6,256.4,739.4,716.4,252.9,429.7,223.9,-1409.3,-926.6,1.0,-1967.0,-430.7,1.0,-1764.9,1159.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
28,0.5297,100,0.03,0.08,1.00,128.5,81.2,61.8,78.0,77.7,53.3,78.7,121.6,206.9,340.6,256.3,739.3,716.4,252.8,429.8,224.1,-1409.2,-926.5,1.0,-1967.0,-430.6,1.0,-1764.9,1159.5,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
